scenEPR,scenCO2,scenH2,tech,generation,H2gene
4800,500,350,Hydroelectricity,43.75,75.525
4800,0,450,Hydroelectricity,43.75,50
4800,100,450,Hydroelectricity,43.75,50
4800,200,450,Hydroelectricity,43.75,51.6
4800,300,450,Hydroelectricity,43.75,51.575
4800,400,450,Hydroelectricity,43.75,53
4800,500,450,Hydroelectricity,43.75,63.575
4800,0,550,Hydroelectricity,43.75,50
4800,100,550,Hydroelectricity,43.75,50
4800,200,550,Hydroelectricity,43.75,50
4800,300,550,Hydroelectricity,43.75,51.575
4800,400,550,Hydroelectricity,43.75,51.575
4800,500,550,Hydroelectricity,43.75,56.9
4800,0,650,Hydroelectricity,43.75,50
4800,100,650,Hydroelectricity,43.75,50
4800,200,650,Hydroelectricity,43.75,50
4800,300,650,Hydroelectricity,43.75,51.575
4800,400,650,Hydroelectricity,43.75,51.6
4800,500,650,Hydroelectricity,43.75,51.7
3000,0,150,Biogas,0,50
3000,100,150,Biogas,0,51.95
3000,200,150,Biogas,0,63.8
3000,300,150,Biogas,0.116,67.175
3000,400,150,Biogas,0.112,68.9
3000,500,150,Biogas,0.128,61.1
3000,0,250,Biogas,0,50
3000,100,250,Biogas,0,50
3000,200,250,Biogas,0,51.05
3000,300,250,Biogas,0.136,60.775
3000,400,250,Biogas,0.112,62.775
3000,500,250,Biogas,0.128,59.3
3000,0,350,Biogas,0,50
3000,100,350,Biogas,0,50
3000,200,350,Biogas,0,51.05
3000,300,350,Biogas,0.132,51.075
3000,400,350,Biogas,0.132,59.825
3000,500,350,Biogas,0.128,59.75
3000,0,450,Biogas,0,50
3000,100,450,Biogas,0,50
3000,200,450,Biogas,0,50
3000,300,450,Biogas,0.132,51.075
3000,400,450,Biogas,0.132,53.2
3000,500,450,Biogas,0.132,59.275
3000,0,550,Biogas,0,50
3000,100,550,Biogas,0,50
3000,200,550,Biogas,0,50
3000,300,550,Biogas,0.132,51.125
3000,400,550,Biogas,0.132,51.3
3000,500,550,Biogas,0.124,51.95
3000,0,650,Biogas,0,50
3000,100,650,Biogas,0,50
3000,200,650,Biogas,0,50
3000,300,650,Biogas,0.136,51.2
3000,400,650,Biogas,0.136,51.375
3000,500,650,Biogas,0.124,51.6
3900,0,150,Biogas,0,50
3900,100,150,Biogas,0,64.675
3900,200,150,Biogas,0,72.05
3900,300,150,Biogas,0.312,80.45
3900,400,150,Biogas,0.14,84.925
3900,500,150,Biogas,0.112,85.175
3900,0,250,Biogas,0,50
3900,100,250,Biogas,0,50
3900,200,250,Biogas,0,63.725
3900,300,250,Biogas,0.308,72.075
3900,400,250,Biogas,0.184,79.65
3900,500,250,Biogas,0.152,80.775
3900,0,350,Biogas,0,50
3900,100,350,Biogas,0,50
3900,200,350,Biogas,0,51.55
